impact_category,low,high,reference_dollar_year,lcia_unit,schedule_mode,annual_real_growth,source,ref,note
climate change,0.114,0.311,2019,USD/kg CO2-eq,geometric,0.015,legacy spatial sLCC implementation,"Morris (2020), Economic Damage Costs for Nine Human Health and Environmental Impacts, SI Ref. 3; https://srmginc.com/images/Final-DEQ-Metro-Report.pdf",Equivalent to 114-311 USD/t CO2 before CPI rebasing
acidification,0.239,0.584,2019,USD/kg SO2-eq,constant,0.0,legacy spatial sLCC implementation,"Morris (2020), Economic Damage Costs for Nine Human Health and Environmental Impacts, SI Ref. 3; https://srmginc.com/images/Final-DEQ-Metro-Report.pdf",
eutrophication,20.09,29.836,2019,USD/kg N-eq,constant,0.0,legacy spatial sLCC implementation,"Morris (2020), Economic Damage Costs for Nine Human Health and Environmental Impacts, SI Ref. 3; https://srmginc.com/images/Final-DEQ-Metro-Report.pdf",
ecotoxicity: freshwater,0.0018387794963850737,0.007886295121980231,2019,USD/CTUe,constant,0.0,legacy spatial sLCC implementation,"Morris (2020), Economic Damage Costs for Nine Human Health and Environmental Impacts, SI Ref. 3; https://srmginc.com/images/Final-DEQ-Metro-Report.pdf","Converted in legacy code from 1.582-6.785 USD/kg 2,4-D using 860.3532958193812 CTUe per kg 2,4-D"
particulate matter formation,550,664.0,2019,USD/kg PM2.5-eq,constant,0.0,legacy spatial sLCC implementation,"Morris (2020), Economic Damage Costs for Nine Human Health and Environmental Impacts, SI Ref. 3; https://srmginc.com/images/Final-DEQ-Metro-Report.pdf",IMPORTANT provenance check: active notebook range differs from an older SI table value; preserved here rather than silently changed
photochemical oxidant formation,0.006,0.483,2019,USD/kg O3-eq,constant,0.0,legacy spatial sLCC implementation,"Morris (2020), Economic Damage Costs for Nine Human Health and Environmental Impacts, SI Ref. 3; https://srmginc.com/images/Final-DEQ-Metro-Report.pdf",Converted in legacy code from 0.006-0.483 USD/kg NMVOC using factor 3.59535897435897
