market_type,quantity,lo,hi,mean,unit,geography,source,ref,note
natural,MSP,2.8,4.5,3.65,USD/kg,U.S.,project_selected_market_range,"USGS 2022 Minerals Yearbook - Graphite (2025 advance release), SI Ref. 52; https://pubs.usgs.gov/myb/vol1/2022/myb1-2022-graphite.pdf","Authoritative project market-natural-graphite benchmark approved 2026-08-24. Change this row only to update deterministic, uncertainty, and spatial workflows."
synthetic,MSP,4.2,5.3,4.75,USD/kg,U.S.,project_selected_market_range,"USGS 2022 Minerals Yearbook - Graphite (2025 advance release), SI Ref. 52; https://pubs.usgs.gov/myb/vol1/2022/myb1-2022-graphite.pdf","Authoritative project market-synthetic-graphite benchmark approved 2026-08-24. Change this row only to update deterministic, uncertainty, and spatial workflows."
