scenario,pathway,h2_coproduct_kg_per_kg_graphite_system,hydrocarbon_coproduct_kg_per_kg_graphite_system,mass_allocation_fraction_to_graphite,ratio_check_min,ratio_check_max
s_c1,BC1,0.0,0.0,1.0,1.0,1.0
s_c2,BC2,0.01795622995514283,0.33884596240647175,0.7370271109743906,0.7370271109743904,0.7370271109743906
s_o1,BO1,0.002202643179209178,0.0,0.9978021977948273,0.9978021977948273,0.9978021977948274
s_o2,BO2,0.09030837276374212,0.718061676422192,0.552984164081995,0.552984164081995,0.552984164081995
