scenario,pathway,flow_key,portable_mapping_key,exchange_type,provider_or_flow_name,provider_or_flow_database,provider_or_flow_code,provider_location,biosphere_categories,flow_unit,method_slug,method,impact_category,impact_unit,reference_unit_impact_factor,reference_factor_parameter,factor_unit,include_in_lcia
s_c1,BC1,technosphere|ei39_cutoff|2ba127601085d3c181813d9d3c33b22a,"technosphere::market for nitrogen, liquid::RoW::kilogram",technosphere,"market for nitrogen, liquid",ei39_cutoff,2ba127601085d3c181813d9d3c33b22a,RoW,,kilogram,TRACI_v2_1__ecotoxicity_freshwater__ecotoxicity_freshwater,TRACI v2.1 | ecotoxicity: freshwater | ecotoxicity: freshwater,ecotoxicity: freshwater,CTUe,2.81494593210262,UF_TRACI_v2_1__ecotoxicity_freshwater__ecotoxicity_freshwater__market_for_nitrogen_liquid__RoW,CTUe/kilogram,True
s_c1,BC1,technosphere|ei39_cutoff|2ba127601085d3c181813d9d3c33b22a,"technosphere::market for nitrogen, liquid::RoW::kilogram",technosphere,"market for nitrogen, liquid",ei39_cutoff,2ba127601085d3c181813d9d3c33b22a,RoW,,kilogram,TRACI_v2_1__photochemical_oxidant_formation__maximum_incremental_reactivity_MIR,TRACI v2.1 | photochemical oxidant formation | maximum incremental reactivity (MIR),photochemical oxidant formation,kg O3-Eq,0.025962302094960654,UF_TRACI_v2_1__photochemical_oxidant_formation__maximum_incremental_reactivity_MIR__market_for_nitrogen_liquid__RoW,kg O3-Eq/kilogram,True
s_c1,BC1,technosphere|ei39_cutoff|2df74714a5a7c8cc88d704fee4a848dd,"technosphere::market group for electricity, medium voltage::US::kilowatt hour",technosphere,"market group for electricity, medium voltage",ei39_cutoff,2df74714a5a7c8cc88d704fee4a848dd,US,,kilowatt hour,IPCC_2021__climate_change__global_warming_potential_GWP100,IPCC 2021 | climate change | global warming potential (GWP100),climate change,kg CO2-Eq,0.4728443002819065,UF_IPCC_2021__climate_change__global_warming_potential_GWP100__market_group_for_electricity_medium_voltage__US,kg CO2-Eq/kilowatt hour,True
s_c1,BC1,technosphere|ei39_cutoff|2df74714a5a7c8cc88d704fee4a848dd,"technosphere::market group for electricity, medium voltage::US::kilowatt hour",technosphere,"market group for electricity, medium voltage",ei39_cutoff,2df74714a5a7c8cc88d704fee4a848dd,US,,kilowatt hour,TRACI_v2_1__eutrophication__eutrophication_potential,TRACI v2.1 | eutrophication | eutrophication potential,eutrophication,kg N-Eq,0.0022115549096817966,UF_TRACI_v2_1__eutrophication__eutrophication_potential__market_group_for_electricity_medium_voltage__US,kg N-Eq/kilowatt hour,True
s_c1,BC1,technosphere|ei39_cutoff|2df74714a5a7c8cc88d704fee4a848dd,"technosphere::market group for electricity, medium voltage::US::kilowatt hour",technosphere,"market group for electricity, medium voltage",ei39_cutoff,2df74714a5a7c8cc88d704fee4a848dd,US,,kilowatt hour,TRACI_v2_1__acidification__acidification_potential_AP,TRACI v2.1 | acidification | acidification potential (AP),acidification,kg SO2-Eq,0.0011244190646275876,UF_TRACI_v2_1__acidification__acidification_potential_AP__market_group_for_electricity_medium_voltage__US,kg SO2-Eq/kilowatt hour,True
s_c1,BC1,technosphere|ei39_cutoff|2df74714a5a7c8cc88d704fee4a848dd,"technosphere::market group for electricity, medium voltage::US::kilowatt hour",technosphere,"market group for electricity, medium voltage",ei39_cutoff,2df74714a5a7c8cc88d704fee4a848dd,US,,kilowatt hour,TRACI_v2_1__particulate_matter_formation__particulate_matter_formation_potential_PMFP,TRACI v2.1 | particulate matter formation | particulate matter formation potential (PMFP),particulate matter formation,PM2.5-Eq,0.00075273936076624,UF_TRACI_v2_1__particulate_matter_formation__particulate_matter_formation_potential_PMFP__market_group_for_electricity_medium_voltage__US,PM2.5-Eq/kilowatt hour,True
s_c1,BC1,technosphere|ei39_cutoff|2df74714a5a7c8cc88d704fee4a848dd,"technosphere::market group for electricity, medium voltage::US::kilowatt hour",technosphere,"market group for electricity, medium voltage",ei39_cutoff,2df74714a5a7c8cc88d704fee4a848dd,US,,kilowatt hour,TRACI_v2_1__ecotoxicity_freshwater__ecotoxicity_freshwater,TRACI v2.1 | ecotoxicity: freshwater | ecotoxicity: freshwater,ecotoxicity: freshwater,CTUe,4.028041058991634,UF_TRACI_v2_1__ecotoxicity_freshwater__ecotoxicity_freshwater__market_group_for_electricity_medium_voltage__US,CTUe/kilowatt hour,True
s_c1,BC1,technosphere|ei39_cutoff|2df74714a5a7c8cc88d704fee4a848dd,"technosphere::market group for electricity, medium voltage::US::kilowatt hour",technosphere,"market group for electricity, medium voltage",ei39_cutoff,2df74714a5a7c8cc88d704fee4a848dd,US,,kilowatt hour,TRACI_v2_1__photochemical_oxidant_formation__maximum_incremental_reactivity_MIR,TRACI v2.1 | photochemical oxidant formation | maximum incremental reactivity (MIR),photochemical oxidant formation,kg O3-Eq,0.014089251392504212,UF_TRACI_v2_1__photochemical_oxidant_formation__maximum_incremental_reactivity_MIR__market_group_for_electricity_medium_voltage__US,kg O3-Eq/kilowatt hour,True
s_c1,BC1,technosphere|ei39_cutoff|c2656868cbf6ba64e023684bbaf2f2a3,"technosphere::treatment of wastewater, average, wastewater treatment::RoW::cubic meter",technosphere,"treatment of wastewater, average, wastewater treatment",ei39_cutoff,c2656868cbf6ba64e023684bbaf2f2a3,RoW,,cubic meter,IPCC_2021__climate_change__global_warming_potential_GWP100,IPCC 2021 | climate change | global warming potential (GWP100),climate change,kg CO2-Eq,-0.45357635381844025,UF_IPCC_2021__climate_change__global_warming_potential_GWP100__treatment_of_wastewater_average_wastewater_treatment__RoW,kg CO2-Eq/cubic meter,True
s_c1,BC1,technosphere|ei39_cutoff|c2656868cbf6ba64e023684bbaf2f2a3,"technosphere::treatment of wastewater, average, wastewater treatment::RoW::cubic meter",technosphere,"treatment of wastewater, average, wastewater treatment",ei39_cutoff,c2656868cbf6ba64e023684bbaf2f2a3,RoW,,cubic meter,TRACI_v2_1__eutrophication__eutrophication_potential,TRACI v2.1 | eutrophication | eutrophication potential,eutrophication,kg N-Eq,-0.03611490208295313,UF_TRACI_v2_1__eutrophication__eutrophication_potential__treatment_of_wastewater_average_wastewater_treatment__RoW,kg N-Eq/cubic meter,True
s_c1,BC1,technosphere|ei39_cutoff|c2656868cbf6ba64e023684bbaf2f2a3,"technosphere::treatment of wastewater, average, wastewater treatment::RoW::cubic meter",technosphere,"treatment of wastewater, average, wastewater treatment",ei39_cutoff,c2656868cbf6ba64e023684bbaf2f2a3,RoW,,cubic meter,TRACI_v2_1__acidification__acidification_potential_AP,TRACI v2.1 | acidification | acidification potential (AP),acidification,kg SO2-Eq,-0.001884735094872222,UF_TRACI_v2_1__acidification__acidification_potential_AP__treatment_of_wastewater_average_wastewater_treatment__RoW,kg SO2-Eq/cubic meter,True
s_c1,BC1,technosphere|ei39_cutoff|c2656868cbf6ba64e023684bbaf2f2a3,"technosphere::treatment of wastewater, average, wastewater treatment::RoW::cubic meter",technosphere,"treatment of wastewater, average, wastewater treatment",ei39_cutoff,c2656868cbf6ba64e023684bbaf2f2a3,RoW,,cubic meter,TRACI_v2_1__particulate_matter_formation__particulate_matter_formation_potential_PMFP,TRACI v2.1 | particulate matter formation | particulate matter formation potential (PMFP),particulate matter formation,PM2.5-Eq,-0.00042839287024251324,UF_TRACI_v2_1__particulate_matter_formation__particulate_matter_formation_potential_PMFP__treatment_of_wastewater_average_wastewater_treatment__RoW,PM2.5-Eq/cubic meter,True
s_c1,BC1,technosphere|ei39_cutoff|c2656868cbf6ba64e023684bbaf2f2a3,"technosphere::treatment of wastewater, average, wastewater treatment::RoW::cubic meter",technosphere,"treatment of wastewater, average, wastewater treatment",ei39_cutoff,c2656868cbf6ba64e023684bbaf2f2a3,RoW,,cubic meter,TRACI_v2_1__ecotoxicity_freshwater__ecotoxicity_freshwater,TRACI v2.1 | ecotoxicity: freshwater | ecotoxicity: freshwater,ecotoxicity: freshwater,CTUe,-10.898300006850342,UF_TRACI_v2_1__ecotoxicity_freshwater__ecotoxicity_freshwater__treatment_of_wastewater_average_wastewater_treatment__RoW,CTUe/cubic meter,True
s_c1,BC1,technosphere|ei39_cutoff|c2656868cbf6ba64e023684bbaf2f2a3,"technosphere::treatment of wastewater, average, wastewater treatment::RoW::cubic meter",technosphere,"treatment of wastewater, average, wastewater treatment",ei39_cutoff,c2656868cbf6ba64e023684bbaf2f2a3,RoW,,cubic meter,TRACI_v2_1__photochemical_oxidant_formation__maximum_incremental_reactivity_MIR,TRACI v2.1 | photochemical oxidant formation | maximum incremental reactivity (MIR),photochemical oxidant formation,kg O3-Eq,-0.0274523618761187,UF_TRACI_v2_1__photochemical_oxidant_formation__maximum_incremental_reactivity_MIR__treatment_of_wastewater_average_wastewater_treatment__RoW,kg O3-Eq/cubic meter,True
s_c1,BC1,technosphere|ei39_cutoff|289eaaf5e6f8ef0f5df16e297e913692,"technosphere::hardwood forestry, beech, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, beech, sustainable forest management",ei39_cutoff,289eaaf5e6f8ef0f5df16e297e913692,RoW,,kilogram,IPCC_2021__climate_change__global_warming_potential_GWP100,IPCC 2021 | climate change | global warming potential (GWP100),climate change,kg CO2-Eq,0.038144318430059,UF_IPCC_2021__climate_change__global_warming_potential_GWP100__hardwood_forestry_beech_sustainable_forest_management__RoW,kg CO2-Eq/kilogram,True
s_c1,BC1,technosphere|ei39_cutoff|289eaaf5e6f8ef0f5df16e297e913692,"technosphere::hardwood forestry, beech, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, beech, sustainable forest management",ei39_cutoff,289eaaf5e6f8ef0f5df16e297e913692,RoW,,kilogram,TRACI_v2_1__eutrophication__eutrophication_potential,TRACI v2.1 | eutrophication | eutrophication potential,eutrophication,kg N-Eq,0.00025755164709581466,UF_TRACI_v2_1__eutrophication__eutrophication_potential__hardwood_forestry_beech_sustainable_forest_management__RoW,kg N-Eq/kilogram,True
s_c1,BC1,technosphere|ei39_cutoff|289eaaf5e6f8ef0f5df16e297e913692,"technosphere::hardwood forestry, beech, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, beech, sustainable forest management",ei39_cutoff,289eaaf5e6f8ef0f5df16e297e913692,RoW,,kilogram,TRACI_v2_1__acidification__acidification_potential_AP,TRACI v2.1 | acidification | acidification potential (AP),acidification,kg SO2-Eq,0.00017834565969306694,UF_TRACI_v2_1__acidification__acidification_potential_AP__hardwood_forestry_beech_sustainable_forest_management__RoW,kg SO2-Eq/kilogram,True
s_c1,BC1,technosphere|ei39_cutoff|289eaaf5e6f8ef0f5df16e297e913692,"technosphere::hardwood forestry, beech, sustainable forest management::RoW::kilogram",technosphere,"hardwood forestry, beech, sustainable forest management",ei39_cutoff,289eaaf5e6f8ef0f5df16e297e913692,RoW,,kilogram,TRACI_v2_1__particulate_matter_formation__particulate_matter_formation_potential_PMFP,TRACI v2.1 | particulate matter formation | particulate matter formation potential (PMFP),particulate matter formation,PM2.5-Eq,2.14247691509576e-05,UF_TRACI_v2_1__particulate_matter_formation__particulate_matter_formation_potential_PMFP__hardwood_forestry_beech_sustainable_forest_management__RoW,PM2.5-Eq/kilogram,True
