stage_code,Climate_change,Acidification,Eutrophication,Freshwater_ecotoxicity,Human_health_particulate_matter,Smog_formation
DFO_1,0.020611495644103025,2.4816567481645267e-05,1.5477340236337313e-06,0.00584239148106203,1.6475776217160718e-06,0.0006177507441755543
DFO_2,0.016094419160898234,1.567203572174752e-05,1.0386610668638145e-06,0.007477823991442444,1.1497349707631748e-06,0.0004249117082388553
DFO_3,0.017886129528325766,2.3586715972418408e-05,1.4991895272600266e-06,0.006483984887465966,1.5564628516578408e-06,0.0005937736517992199
DFO_4,0.0182706830765373,1.7862842320704857e-05,1.0507675876110411e-06,0.010837816015702747,1.4463750575749876e-06,0.0004402050434154945
DFO_5,0.019506173354962145,2.16786913810487e-05,1.414902227169874e-06,0.007971949698455409,1.4071407037873953e-06,0.000594634820237756
