scenario,pathway,material_code,flow_per_hr,flow_unit,mass_flow_kg_hr,is_feedstock,is_product,is_byproduct,product_rate_kg_per_hr,quantity_per_kg_graphite,quantity_per_kg_graphite_unit
s_c1,BC1,Fe,43736.062080749056,kg,43736.062080749056,False,False,False,16814.74768828936,2.6010537232865563,kg/kg graphite
s_c1,BC1,HCl,15120.00074778352,kg,15120.00074778352,False,False,False,16814.74768828936,0.8992106826743438,kg/kg graphite
s_c1,BC1,N2,416.66668727357677,kg,416.66668727357677,False,False,False,16814.74768828936,0.024779835832075225,kg/kg graphite
s_c1,BC1,NaOH,3960.0001958480652,kg,3960.0001958480652,False,False,False,16814.74768828936,0.23550755974804244,kg/kg graphite
s_c1,BC1,biochar,21868.031040374528,kg,21868.031040374528,False,False,False,16814.74768828936,1.3005268616432781,kg/kg graphite
s_c1,BC1,diesel,408.65050969194067,kg,408.65050969194067,False,False,False,16814.74768828936,0.024303100900916016,kg/kg graphite
s_c1,BC1,electricity,93640.33535335536,kWh,93640.33535335536,False,False,False,16814.74768828936,5.568940854139085,kWh/kg graphite
s_c1,BC1,feedstock,83333.33745471537,kg,83333.33745471537,True,False,False,16814.74768828936,4.9559671664150455,kg/kg graphite
s_c1,BC1,graphite,16814.74768828936,kg,16814.74768828936,False,True,False,16814.74768828936,1.0,kg/kg graphite
s_c1,BC1,natural gas,2685.3478851741347,m3,2685.3478851741347,False,False,False,16814.74768828936,0.15970194349358846,m3/kg graphite
s_c1,BC1,solid disposal,1364.207560047994,kg,1364.207560047994,False,False,False,16814.74768828936,0.08113161049678415,kg/kg graphite
s_c1,BC1,water,25.956001283695045,m3,25.956001283695045,False,False,False,16814.74768828936,0.0015436450052576237,m3/kg graphite
s_c1,BC1,wwt,12086.403595907592,kg,12086.403595907592,False,False,False,16814.74768828936,0.7187977970270213,kg/kg graphite
s_c2,BC2,Fe,43736.062080749056,kg,43736.062080749056,False,False,False,16814.74768828936,2.6010537232865563,kg/kg graphite
s_c2,BC2,H2S,0.833333374547152,kg,0.833333374547152,False,False,False,16814.74768828936,4.9559671664150355e-05,kg/kg graphite
s_c2,BC2,HCl,15120.00074778352,kg,15120.00074778352,False,False,False,16814.74768828936,0.8992106826743438,kg/kg graphite
s_c2,BC2,N2,416.6666872735768,kg,416.6666872735768,False,False,False,16814.74768828936,0.024779835832075228,kg/kg graphite
s_c2,BC2,NaOH,3960.0001958480652,kg,3960.0001958480652,False,False,False,16814.74768828936,0.23550755974804244,kg/kg graphite
s_c2,BC2,Ni/Al2O3 catalyst,0.25217110195861203,kg,0.25217110195861203,False,False,False,16814.74768828936,1.4997019677805616e-05,kg/kg graphite
s_c2,BC2,NiMo/Al2O3 catalyst,1.3741874400549339,kg,1.3741874400549339,False,False,False,16814.74768828936,8.172512995910056e-05,kg/kg graphite
s_c2,BC2,bioH2,301.92947612863,kg,301.92947612863,False,False,True,16814.74768828936,0.017956229955142823,kg/kg graphite
s_c2,BC2,bioSAF,1780.501798181795,kg,1780.501798181795,False,False,True,16814.74768828936,0.10588929618146019,kg/kg graphite
s_c2,BC2,biochar,21868.031040374528,kg,21868.031040374528,False,False,False,16814.74768828936,1.3005268616432781,kg/kg graphite
s_c2,BC2,biodiesel,469.1061494169214,kg,469.1061494169214,False,False,True,16814.74768828936,0.027898494709119582,kg/kg graphite
s_c2,BC2,biogasoline,3448.0014154616883,kg,3448.0014154616883,False,False,True,16814.74768828936,0.205058171515892,kg/kg graphite
s_c2,BC2,boiler chemical,0.21718618987668242,kg,0.21718618987668242,False,False,False,16814.74768828936,1.29164108735299e-05,kg/kg graphite
s_c2,BC2,cooling chemical,0.12309451930988895,kg,0.12309451930988895,False,False,False,16814.74768828936,7.320628390732154e-06,kg/kg graphite
s_c2,BC2,diesel,408.6505096919407,kg,408.6505096919407,False,False,False,16814.74768828936,0.02430310090091602,kg/kg graphite
s_c2,BC2,electricity,101801.44203134836,kWh,101801.44203134836,False,False,False,16814.74768828936,6.054294950988056,kWh/kg graphite
s_c2,BC2,feedstock,83333.33745471537,kg,83333.33745471537,True,False,False,16814.74768828936,4.9559671664150455,kg/kg graphite
s_c2,BC2,graphite,16814.74768828936,kg,16814.74768828936,False,True,False,16814.74768828936,1.0,kg/kg graphite
s_c2,BC2,natural gas,13321.68402678592,m3,13321.68402678592,False,False,False,16814.74768828936,0.7922619044747138,m3/kg graphite
s_c2,BC2,solid disposal,1364.207560047994,kg,1364.207560047994,False,False,False,16814.74768828936,0.08113161049678415,kg/kg graphite
s_c2,BC2,water,52.17796956342576,m3,52.17796956342576,False,False,False,16814.74768828936,0.0031031074941294027,m3/kg graphite
s_c2,BC2,wwt,6217.1136636432075,kg,6217.1136636432075,False,False,False,16814.74768828936,0.3697417159564707,kg/kg graphite
