carrier,region,impact_category,factor_value,source_unit,factor_unit,source,reference,notes
diesel,DFO_5,photochemical oxidant formation,0.0005946348202377,MJ,kg O3-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Anadarko,climate change,0.0175076720018975,MJ,kg CO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Anadarko,acidification,9.892762904489962e-05,MJ,kg SO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Anadarko,eutrophication,6.1041038059785855e-06,MJ,kg N-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Anadarko,ecotoxicity: freshwater,0.0662923463195465,MJ,CTUe/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Anadarko,particulate matter formation,2.3750501218844105e-06,MJ,PM2.5-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Anadarko,photochemical oxidant formation,0.0033237400260884,MJ,kg O3-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Appalachian,climate change,0.0144495835303387,MJ,kg CO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Appalachian,acidification,8.606058929873673e-05,MJ,kg SO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Appalachian,eutrophication,6.357408440564546e-06,MJ,kg N-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Appalachian,ecotoxicity: freshwater,0.0270356628176455,MJ,CTUe/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Appalachian,particulate matter formation,1.818397469871221e-06,MJ,PM2.5-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Appalachian,photochemical oxidant formation,0.0029439777392324,MJ,kg O3-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Arkla,climate change,0.0145361725856911,MJ,kg CO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Arkla,acidification,8.862821628384045e-05,MJ,kg SO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Arkla,eutrophication,5.477154418954357e-06,MJ,kg N-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Arkla,ecotoxicity: freshwater,0.0382517947879859,MJ,CTUe/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Arkla,particulate matter formation,1.9480292753332933e-06,MJ,PM2.5-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Arkla,photochemical oxidant formation,0.0030093325661286,MJ,kg O3-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Arkoma,climate change,0.0183566688781148,MJ,kg CO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Arkoma,acidification,9.038015333630342e-05,MJ,kg SO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Arkoma,eutrophication,5.609410022050739e-06,MJ,kg N-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Arkoma,ecotoxicity: freshwater,0.0113481012475019,MJ,CTUe/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Arkoma,particulate matter formation,1.7201639233717697e-06,MJ,PM2.5-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Arkoma,photochemical oxidant formation,0.0031515054931732,MJ,kg O3-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,East Texas,climate change,0.0153879221240509,MJ,kg CO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,East Texas,acidification,8.562058126055626e-05,MJ,kg SO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,East Texas,eutrophication,5.3089449504767134e-06,MJ,kg N-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,East Texas,ecotoxicity: freshwater,0.0104869416266267,MJ,CTUe/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,East Texas,particulate matter formation,1.6381170766142824e-06,MJ,PM2.5-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,East Texas,photochemical oxidant formation,0.0029890079361734,MJ,kg O3-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Fort Worth,climate change,0.01603303796063,MJ,kg CO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Fort Worth,acidification,9.299802693170108e-05,MJ,kg SO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Fort Worth,eutrophication,5.778304365706187e-06,MJ,kg N-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Fort Worth,ecotoxicity: freshwater,0.0068799183756461,MJ,CTUe/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Fort Worth,particulate matter formation,1.7184151761090836e-06,MJ,PM2.5-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Fort Worth,photochemical oxidant formation,0.0032765169080695,MJ,kg O3-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Green River,climate change,0.0142149429546326,MJ,kg CO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Green River,acidification,8.217135903512689e-05,MJ,kg SO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Green River,eutrophication,5.0871845764278695e-06,MJ,kg N-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Green River,ecotoxicity: freshwater,0.0148130148543253,MJ,CTUe/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Green River,particulate matter formation,1.6270789593473094e-06,MJ,PM2.5-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Green River,photochemical oxidant formation,0.0028474284585754,MJ,kg O3-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Gulf,climate change,0.0254208206102872,MJ,kg CO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Gulf,acidification,0.0002112505184762,MJ,kg SO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Gulf,eutrophication,1.3215825512550022e-05,MJ,kg N-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Gulf,ecotoxicity: freshwater,0.0564835066760845,MJ,CTUe/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Gulf,particulate matter formation,4.013074253059986e-06,MJ,PM2.5-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Gulf,photochemical oxidant formation,0.0073341191889636,MJ,kg O3-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Permian,climate change,0.0142134331337238,MJ,kg CO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Permian,acidification,8.870923371085763e-05,MJ,kg SO2-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Permian,eutrophication,5.454795713642192e-06,MJ,kg N-Eq/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
natural_gas,Permian,ecotoxicity: freshwater,0.0720377380448131,MJ,CTUe/MJ,NETL/EPA LCI characterized with IPCC AR6 + TRACI 2.1,See provenance metadata in data/public_factors/,
