state,scenario,factor,low_level,high_level,low_mean_impact_avg_full_pct,high_mean_impact_avg_full_pct,effect_pct_points
WV,s_c2,spc,1.05,1.2,-18.042150555623788,-17.491943593880627,0.5502069617431609
WV,s_c2,damage_scenario,low,high,-18.418295138879607,-17.115799010624812,1.3024961282547949
WV,s_o2,social_rate,0.01,0.05,-20.069098803890668,-12.453951425022243,7.615147378868425
WV,s_o2,spc,1.05,1.2,-17.148414724061617,-15.374635504851295,1.7737792192103221
WV,s_o2,damage_scenario,low,high,-15.839176119672228,-16.68387410924068,-0.8446979895684521
WY,s_c2,social_rate,0.01,0.05,-14.421133289456261,-12.00261917218382,2.4185141172724407
WY,s_c2,spc,1.05,1.2,-13.48697971169162,-12.936772749948464,0.5502069617431555
WY,s_c2,damage_scenario,low,high,-13.87991853963634,-12.543833922003746,1.3360846176325936
WY,s_o2,social_rate,0.01,0.05,-16.279504032148505,-8.650961003007543,7.628543029140962
WY,s_o2,spc,1.05,1.2,-13.352122127183188,-11.57834290797286,1.7737792192103274
WY,s_o2,damage_scenario,low,high,-12.01616351504667,-12.914301520109378,-0.898138005062707
