scenario,pathway,MSP ($/kg),IRR,ISBL installed ($M),OSBL installed ($M),Total installed ($M),TDC ($M),Indirect capital ($M),FCI ($M),Maintenance ($M/y),Insurance + property tax ($M/y)
s_c1,BC1,4.322083112940222,0.10000000000295994,128.8599378271116,7.377139340585921,136.23707716769752,158.78756628744205,95.27253977246522,254.0601060599073,7.621803181797219,2.540601060599073
s_c2,BC2,4.399352471123158,0.09999999999999853,234.82835952059324,41.223547045535575,276.05190656612876,317.14686948223255,190.28812168933956,507.4349911715721,15.22304973514716,5.0743499117157205
s_o1,BO1,6.005590286982231,0.10000000000000187,276.1156391024908,80.86859739870994,356.9842365012007,405.30447334413657,243.18268400648194,648.4871573506186,19.454614720518556,6.484871573506186
s_o2,BO2,5.268108811967879,0.09999999999999964,379.01259821904773,130.35857905536227,509.37117727441006,575.6983819627434,345.41902917764605,921.1174111403894,27.63352233421168,9.211174111403896
