state,scenario,impact_category,sLCC_private,env_green_perkg,env_market_perkg,delta_env_perkg,sLCC_green,sLCC_market,sLCC_green_vs_market_abs,sLCC_green_vs_market_pct,market_price,MSP_model,electricity_price,feedstock_price,market_type,social_rate,spc,damage_scenario
AK,s_c1,acidification,4.637881669696431,0.012348648411633762,0.012984720676239155,-0.0006360722646053928,4.650230318108065,3.662984720676239,0.9872455974318259,26.9519441852754,3.65,4.778875495270004,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_c1,climate change,4.637881669696431,1.9239784454420532,1.3789656199866647,0.5450128254553885,6.561860115138484,5.028965619986664,1.5328944951518197,30.481307906731818,3.65,4.778875495270004,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_c1,ecotoxicity: freshwater,4.637881669696431,0.5946531512271646,0.26213411753369176,0.3325190336934728,5.232534820923595,3.9121341175336917,1.3204007033899035,33.751417096669414,3.65,4.778875495270004,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_c1,eutrophication,4.637881669696431,0.8444871684728402,0.3694270839373155,0.47506008453552473,5.482368838169271,4.019427083937315,1.4629417542319558,36.39677306445625,3.65,4.778875495270004,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_c1,particulate matter formation,4.637881669696431,7.027025590594945,3.137234375011523,3.8897912155834216,11.664907260291375,6.787234375011523,4.8776728852798525,71.86539635698925,3.65,4.778875495270004,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_c1,photochemical oxidant formation,4.637881669696431,0.10632795043915033,0.08965063216302423,0.016677318276126105,4.744209620135582,3.7396506321630243,1.0045589879725574,26.86237530674136,3.65,4.778875495270004,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_c1,_ALL_,4.637881669696431,10.508820954587787,5.250396549308458,5.258424405279329,15.146702624284217,8.900396549308457,6.2463060749757595,70.18008737443373,3.65,4.778875495270004,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_c2,acidification,4.6474805869215645,0.010197698216814603,0.012984720676239155,-0.0027870224594245523,4.657678285138379,3.662984720676239,0.9946935644621404,27.155274736677192,3.65,4.912524537736474,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_c2,climate change,4.6474805869215645,1.8570981055759876,1.3789656199866647,0.478132485589323,6.504578692497552,5.028965619986664,1.475613072510888,29.34227799542605,3.65,4.912524537736474,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_c2,ecotoxicity: freshwater,4.6474805869215645,0.45052719336577923,0.26213411753369176,0.18839307583208748,5.098007780287344,3.9121341175336917,1.1858736627536524,30.312704706076314,3.65,4.912524537736474,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_c2,eutrophication,4.6474805869215645,0.6547019921862143,0.3694270839373155,0.2852749082488988,5.302182579107779,4.019427083937315,1.2827554951704636,31.913888929511646,3.65,4.912524537736474,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_c2,particulate matter formation,4.6474805869215645,5.521393975762143,3.137234375011523,2.38415960075062,10.168874562683708,6.787234375011523,3.3816401876721853,49.82353637473207,3.65,4.912524537736474,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_c2,photochemical oxidant formation,4.6474805869215645,0.09606980996944574,0.08965063216302423,0.006419177806421511,4.743550396891011,3.7396506321630243,1.0038997647279864,26.84474737008596,3.65,4.912524537736474,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_c2,_ALL_,4.6474805869215645,8.589988775076385,5.250396549308458,3.3395922257679276,13.237469361997949,8.900396549308457,4.337072812689492,48.72898402517215,3.65,4.912524537736474,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_o1,acidification,5.664057369946521,0.01318836002716986,0.012984720676239162,0.00020363935093069795,5.677245729973691,3.662984720676239,2.0142610092974524,54.98960991913696,3.65,6.245625015100144,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_o1,climate change,5.664057369946521,2.3161823766070415,1.3789656199866647,0.9372167566203768,7.980239746553563,5.028965619986664,2.951274126566899,58.68551009451373,3.65,6.245625015100144,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_o1,ecotoxicity: freshwater,5.664057369946521,0.5968105159767497,0.26213411753369176,0.33467639844305797,6.260867885923271,3.9121341175336917,2.3487337683895793,60.037148467452866,3.65,6.245625015100144,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_o1,eutrophication,5.664057369946521,0.8962275519211423,0.36942708393731544,0.526800467983827,6.560284921867663,4.019427083937315,2.540857837930348,63.214427948806,3.65,6.245625015100144,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_o1,particulate matter formation,5.664057369946521,6.665788808335446,3.137234375011525,3.528554433323921,12.329846178281967,6.787234375011525,5.542611803270442,81.66230156537111,3.65,6.245625015100144,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_o1,photochemical oxidant formation,5.664057369946521,0.12594047159875435,0.08965063216302427,0.03628983943573008,5.789997841545276,3.7396506321630243,2.0503472093822515,54.8272395220065,3.65,6.245625015100144,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_o1,_ALL_,5.664057369946521,10.614138084466303,5.2503965493084594,5.3637415351578435,16.278195454412824,8.900396549308459,7.377798905104365,82.89292352572318,3.65,6.245625015100144,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_o2,acidification,4.682983310946327,0.007247179242273696,0.012984720676239162,-0.005737541433965466,4.6902304901886005,3.662984720676239,1.0272457695123616,28.0439545301384,3.65,5.501414696596164,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_o2,climate change,4.682983310946327,1.2569364825736198,1.3789656199866647,-0.12202913741304489,5.939919793519946,5.028965619986664,0.9109541735332822,18.114145976915587,3.65,5.501414696596164,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_o2,ecotoxicity: freshwater,4.682983310946327,0.3304851926876982,0.26213411753369176,0.06835107515400646,5.013468503634025,3.9121341175336917,1.101334386100333,28.15175433695617,3.65,5.501414696596164,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_o2,eutrophication,4.682983310946327,0.4938188475915986,0.36942708393731544,0.12439176365428317,5.176802158537925,4.019427083937315,1.1573750746006102,28.79452843480566,3.65,5.501414696596164,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_o2,particulate matter formation,4.682983310946327,3.6640198759165266,3.137234375011525,0.5267855009050018,8.347003186862853,6.787234375011525,1.5597688118513284,22.980918672764705,3.65,5.501414696596164,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_o2,photochemical oxidant formation,4.682983310946327,0.0687513327947813,0.08965063216302427,-0.020899299368242974,4.751734643741107,3.7396506321630243,1.0120840115780831,27.06359794344454,3.65,5.501414696596164,0.2016,0.0302942756472264,natural,0.03,1.1,central
AK,s_o2,_ALL_,4.682983310946327,5.821258910806497,5.2503965493084594,0.5708623614980377,10.504242221752824,8.900396549308459,1.6038456724443648,18.019934994570328,3.65,5.501414696596164,0.2016,0.0302942756472264,natural,0.03,1.1,central
AL,s_c1,acidification,4.105653921682103,0.009500126179529502,0.012984720676239155,-0.003484594496709653,4.115154047861632,3.662984720676239,0.4521693271853935,12.344286467619133,3.65,4.24477611130613,0.07440000000000001,0.06616907575578397,natural,0.03,1.1,central
