state,scenario,climate change,acidification,eutrophication,ecotoxicity: freshwater,particulate matter formation,photochemical oxidant formation
AK,s_c1,5.930878910055826,0.02383032616496854,0.026864371143746218,97.11385152441268,0.009193126676508043,0.3453416658092679
AK,s_c2,5.72471277646493,0.019679439120613734,0.020827027293317785,73.5763879732989,0.007223379735236206,0.3120243367035912
AK,s_o1,7.139891427476711,0.025450795143896282,0.028510308365727387,97.46617455430473,0.008720537604971084,0.40904101014914807
AK,s_o2,3.874647397134864,0.013985550431306082,0.01570909931463856,53.9721178092765,0.004793464664427393,0.22329688191953492
AL,s_c1,5.355301339467297,0.018333270000080303,0.021151849368912488,92.70609213937809,0.005072329780805583,0.27024556683985645
AL,s_c2,5.267510759054355,0.015338159120311714,0.016270528182495834,70.24427527448897,0.0039246514001434,0.2534287828555931
AL,s_o1,6.630418870912061,0.020630248559742367,0.02344312785610507,93.78417345259109,0.005050567064317146,0.34405262265660747
AL,s_o2,3.5953877653333803,0.011342222306299296,0.012932602435158971,51.94618412257726,0.002783094492735679,0.18762757889652076
AR,s_c1,5.377639434086276,0.01835796637131233,0.021147572815430716,92.616401179621,0.005071768147244721,0.27143207140552517
AR,s_c2,5.349185574496742,0.015428456506766462,0.01625489181232591,69.91633805737344,0.003922597898346936,0.25776700162829935
AR,s_o1,6.729867584619037,0.020740196269882726,0.02342408873257571,93.38487124122838,0.005048066683861468,0.349334915299551
AR,s_o2,3.6469536094434845,0.011399232058060049,0.012922730326819785,51.73913915621783,0.002781798003077971,0.19036653718785235
AZ,s_c1,4.782508402232297,0.016880620034301633,0.02636268611275948,96.82691427649705,0.00829586047744182,0.26989020040743283
AZ,s_c2,4.953129259774754,0.014537867978781953,0.02045213231859958,73.23242637027444,0.006509927597730826,0.26772001497362363
AZ,s_o1,6.301308441845808,0.019787117912481205,0.02809680072349653,97.06812376775787,0.007927415061767674,0.36191361090029134
AZ,s_o2,3.408540500014452,0.010863802630871224,0.015481365386599118,53.75928416229453,0.004358780661679176,0.19674650311692798
CA,s_c1,4.744657946293003,0.016743869755900545,0.026353980630640993,96.89425635646997,0.008294393049515033,0.2646518034805646
CA,s_c2,4.81473656979906,0.014037867690457704,0.020420302448707264,73.47864933812873,0.00650456223836873,0.24856685488930635
CA,s_o1,6.132799031325751,0.019178308633174792,0.028058044105546364,97.36792925009159,0.00792088210440198,0.33859238117369633
CA,s_o2,3.321165513752028,0.010548124697801111,0.015461269423112432,53.91473838778535,0.004355393212525334,0.18465405011566635
CO,s_c1,4.728619221233419,0.016725346223602697,0.026352652515870788,96.87116223403619,0.008293995418093076,0.2640010483086812
CO,s_c2,4.761507198720561,0.013986858428831262,0.020417041841789163,73.38165404930128,0.006502936480584847,0.2468641000905538
CO,s_o1,6.067170788101454,0.019113681043077237,0.02805383366627678,97.25171703194118,0.007918928440601132,0.3364171795059107
CO,s_o2,3.2870476846604304,0.010514340947209298,0.015459060163621828,53.854685604455604,0.0043543830142580625,0.1835151125987329
CT,s_c1,3.8245113895547664,0.013978565251097513,0.01261940918925591,84.20611557870355,0.0028851948237449683,0.22676959079147124
CT,s_c2,4.0406846103235265,0.011848782273793013,0.009433805678775295,63.4336311587641,0.0021721750654751975,0.21859083535085105
CT,s_o1,5.267439886633368,0.016748561552619258,0.015835921653823137,86.20544929657638,0.0031006515124349303,0.30530692590437186
CT,s_o2,2.8488500530632477,0.009216040594280665,0.008765748859884572,47.79492268007731,0.0017150276328163397,0.16640489821443352
DC,s_c1,5.369508775445955,0.020483910384910476,0.020827586517713048,93.02939755035409,0.004751699755251711,0.27495061269971754
DC,s_c2,5.278631896617897,0.017061266403768902,0.016010704087781498,70.50338938150333,0.003667734045648494,0.2571964445686286
DC,s_o1,6.644907949154076,0.022548509979284745,0.023154058386419898,94.07199278302559,0.004764764963478025,0.3482635156722811
DC,s_o2,3.6033594529894333,0.012392967686875539,0.01277426499534042,52.10382912005135,0.002626547308312805,0.18993440982383478
DE,s_c1,5.369508775445955,0.020483910384910476,0.020827586517713048,93.02939755035409,0.004751699755251711,0.27495061269971754
DE,s_c2,5.278631896617897,0.017061266403768902,0.016010704087781498,70.50338938150333,0.003667734045648494,0.2571964445686286
DE,s_o1,6.644907949154076,0.022548509979284745,0.023154058386419898,94.07199278302559,0.004764764963478025,0.3482635156722811
DE,s_o2,3.6033594529894333,0.012392967686875539,0.01277426499534042,52.10382912005135,0.002626547308312805,0.18993440982383478
FL,s_c1,5.3593916139041555,0.018335115781518696,0.02115192222529366,92.70512922540706,0.00507246652735594,0.2702815520557323
FL,s_c2,5.270525402205644,0.015339519511272742,0.01627058187962396,70.24356558078678,0.003924752186058345,0.2534553049352879
FL,s_o1,6.635887825861666,0.02063271648596326,0.02344322526968271,93.78288597586813,0.00505074990308138,0.3441007371602953
FL,s_o2,3.59841867214827,0.011343590036417845,0.012932656421977122,51.94547060015668,0.002783195822379395,0.18765424405987766
GA,s_c1,5.3593916139041555,0.018335115781518696,0.02115192222529366,92.70512922540706,0.00507246652735594,0.2702815520557323
GA,s_c2,5.270525402205644,0.015339519511272742,0.01627058187962396,70.24356558078678,0.003924752186058345,0.2534553049352879
GA,s_o1,6.635887825861666,0.02063271648596326,0.02344322526968271,93.78288597586813,0.00505074990308138,0.3441007371602953
GA,s_o2,3.59841867214827,0.011343590036417845,0.012932656421977122,51.94547060015668,0.002783195822379395,0.18765424405987766
HI,s_c1,7.523922129099158,0.04446698560422084,0.030394744053497805,102.67981149619385,0.011605279231831238,0.5497180226244461
HI,s_c2,7.041654611485853,0.03625133960015688,0.023658011560427045,78.1143932884632,0.009157448645851973,0.4769795082866491
HI,s_o1,8.610698142407367,0.04389531270279363,0.031660653801857605,102.52613696079608,0.010872757632755067,0.5927479002445109
HI,s_o2,4.678437034050318,0.024086886441876638,0.01743460220235514,56.7401514121543,0.005972285751927494,0.323867969769913
IA,s_c1,5.446213650181097,0.022108963229710066,0.04058987736805292,112.2445657742958,0.014403851666416116,0.2890597894858514
IA,s_c2,5.404304198608849,0.01843474976811932,0.03183331089135565,85.64353946879301,0.011400078542274547,0.27190769663655034
IA,s_o1,6.78980811240112,0.024079167953937677,0.0407578901373278,110.88535165377047,0.013367968693139347,0.36493829740367056
IA,s_o2,3.6797628938425007,0.013228054412393681,0.02241733004925953,61.32505628645976,0.00733902672611828,0.19891111807461087
ID,s_c1,4.742803702096757,0.01673814286666681,0.026353434131365486,96.89855749592755,0.00829445193308059,0.26442003272331877
ID,s_c2,4.8133699415560605,0.014033646817830892,0.020419899663925087,73.48181939451706,0.006504605637152937,0.2483960335576851
ID,s_o1,6.130319789863746,0.0191706514209989,0.028057313401540104,97.37368014487592,0.007920960835443691,0.33828248905042185
ID,s_o2,3.319791512702066,0.010543881054037205,0.015460864465351278,53.91792554627434,0.004355436845441141,0.18448230722201145
